CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-BSI-NP|-|2|Exchange gains|20170707|0.00|0.00|4148000.00|106345.12|20170720|DGHP-BSI-NP|20170720|DGHP-BSI-NP
1|DGHP-BSI-NP|-|3|hpv2@cdc.gov|20170804|0.00|0.00|4148000.00|106345.12|20170817|dghp-bsi-np|20170817|dghp-bsi-np
1|DGHP-DeNARS|-|0|||0.00|0.00|2886804.00|0.00||||
1|DGHP-EIGNA|-|0|||0.00|0.00|9223180.00|0.00||||
1|DGHP-EIGNA|-|1|isa2@cdc.gov|20170509|0.00|0.00|9223180.00|0.00|20170519|DGHP-EIGNA|20170519|DGHP-EIGNA
1|DGHP-EIGNA|-|2|pdk@cdc.gov|20170510|0.00|0.00|9223180.00|0.00|20170526|DGHP-EIGNA|20170526|DGHP-EIGNA
1|DGHP-EIGNA|-|3|pdk8@cdc.gov|20170802|0.00|0.00|9223180.00|0.00|20170810|DGHP-EIGNA|20170810|DGHP-EIGNA
1|DGHP-Farmer|-|0|||0.00|0.00|1603780.00|0.00||||
1|DGHP-Farmer|-|1|uwz4@cdc.gov|20170327|0.00|0.00|1603780.00|0.00|20170328|dghp-farmer|20170328|dghp-farmer
1|DGHP-Farmer|-|2|Exchange gains|20170707|0.00|0.00|1603780.00|57473.18|20170803||20170803|
1|DGHP-Farmer|-|3|uwz4@cdc.gov|20170824|0.00|0.00|1603780.00|57473.18|20170825|DGHP-FARMER|20170825|DGHP-FARMER
1|DGHP-IPC|-|0|||0.00|0.00|1924536.00|0.00||||
1|DGHP-IPC|-|1|uwz4@cdc.gov|20170505|0.00|0.00|1924536.00|0.00|20170508|dghp-ipc|20170508|dghp-ipc
1|DGHP-IPC|-|2|pdk8@cdc.gov|20170825|0.00|0.00|1924536.00|0.00|20170828|dghp-ipc|20170828|dghp-ipc
1|DGHP-MOPH-EOC|-|0|||0.00|0.00|2245292.00|0.00||||
1|DGHP-OH|-|0|||0.00|0.00|2886804.00|0.00||||
1|DGHP-OH|-|1|sqd3@cdc.gov|20170322|0.00|0.00|2886804.00|0.00|20170503||20170503|
1|DGHP-OH|-|2|sqd6@cdc.gov|20170825|0.00|0.00|2886804.00|0.00|20170825||20170825|
1|DGHP-OH-WFD|-|0|||0.00|0.00|1603780.00|0.00||||
1|DGHP-SevPn|-|0|||0.00|0.00|1154708.00|0.00||||
1|DGHP-SevPn|-|1|uwz4@cdc.gov|14740207|0.00|0.00|1154708.00|0.00|20170208|dghp-sevpn|20170208|dghp-sevpn
1|DGHP-SevPn|-|2|uwz4@cdc.gov|20170324|0.00|0.00|1154708.00|0.00|20170324|dghp-sevpn|20170324|dghp-sevpn
1|DGMQ-NR5|-|0|||0.00|0.00|1716048.00|0.00||||
1|DGMQ-NR5|-|1|dms3@cdc.gov|20170210|0.00|0.00|1716048.00|0.00|20170210|dgmq-nr5|20170210|dgmq-nr5
1|DGMQ-NR5|-|2|Exchange gains|20170707|0.00|0.00|1716048.00|44011.51|20170711|dgmq-nr5|20170711|dgmq-nr5
1|DGMQ-NR5|-|3|dms3@cdc.gov|20170815|0.00|0.00|1716048.00|44011.51|20170818|dgmq-nr5|20170818|dgmq-nr5
1|DGMQ-NR6|-|0|||0.00|0.00|320756.00|0.00||||
1|DGMQ-NR6|-|1|dms3@cdc.gov|20170221|0.00|0.00|320756.00|0.00|20170223|DGMQ-NR6|20170223|DGMQ-NR6
1|DGMQ-NR6|-|2|dms3@cdc.gov|20170628|0.00|0.00|320756.00|0.00|20170720|dgmq-nr6|20170720|dgmq-nr6
1|FLU-Bangkok|-|0|||0.00|0.00|1443402.00|0.00||||
1|FLU-Bangkok|-|1|hpu3@cdc.gov|20170609|0.00|0.00|1443402.00|0.00|20170912|flu-bangkok|20170912|flu-bangkok
1|FLU-Communication|-|0|||0.00|0.00|994330.00|0.00||||
1|FLU-Communication|-|1|สธ 0209.15/10062|20170704|0.00|0.00|827730.00|0.00|20170724|flu-communication|20170724|flu-communication
1|FLU-Communication|-|2|Exchange gains|20170707|0.00|0.00|827730.00|30348.53|20170725||20170725|
1|FLU-Communication|-|3|E-mail|20170823|0.00|0.00|827730.00|30348.53|20170915|flu-communication|20170915|flu-communication
1|FLU-DARRT|-|0|||0.00|0.00|2405670.00|0.00||||
1|FLU-DARRT|-|1|hpu3@cdc.gov|20170403|0.00|0.00|2405670.00|0.00|20170410|flu-darrt|20170410|flu-darrt
1|FLU-DARRT|-|2|Exchange gains|20170707|0.00|0.00|2405670.00|30054.73|20170713||20170713|
1|FLU-DARRT|-|3|hpu3@cdc.gov|20170815|0.00|0.00|2405670.00|30054.73|20170911|flu-darrt|20170911|flu-darrt
1|FLU-DARRT|-|4|hpu3@cdc.gov|20170831|0.00|0.00|2405670.00|30054.73|20170911|flu-darrt|20170911|flu-darrt
1|FLU-Lab|-|0|||0.00|0.00|1700000.00|0.00||||
1|FLU-Lab|-|1|Exchange gains|20170707|0.00|0.00|1700000.00|46224.29|20170718|flu-lab|20170718|flu-lab
1|FLU-Lab|-|2|E.Mail hpu3@cdc.gov (Dr.Praphasiri Prabda)|20170717|0.00|0.00|1700000.00|46224.29|20170727|Flu-Lab|20170727|Flu-Lab
1|FLU-Lab|-|3|E.Mail hpw0@cdc.gov (Limsritrakul Duangporn)|20170823|0.00|0.00|1700000.00|46224.29|20170825|Flu-Lab|20170825|Flu-Lab
1|FLU-PIE|-|0|||0.00|0.00|641512.00|0.00||||
1|FLU-PIE|-|1|hpu3@cdc.gov|20170614|0.00|0.00|641512.00|0.00|20170622|flu-pie|20170622|flu-pie
1|FLU-PIE|-|2|Exchange gains|20170707|0.00|0.00|641512.00|17207.23|20170801||20170801|
1|FLU-RightSize|-|0|||0.00|0.00|233954.00|0.00||||
1|FLU-RightSize|-|1|hpu3@cdc.gov|14740224|0.00|0.00|233954.00|0.00|20170224|flu-rightsize|20170224|flu-rightsize
1|FLU-RightSize|-|2|0216/161/17|20170627|0.00|0.00|400554.00|0.00|20170706|flu-rightsize|20170706|flu-rightsize
1|FLU-RightSize|-|3|Exchange gains|20170707|0.00|0.00|400554.00|5859.38|20170912|pma|20170912|pma
1|FLU-Treatment|-|0|||0.00|0.00|1507560.00|0.00||||
1|GAP-CB|-|0|||0.00|0.00|764652.00|0.00||||
1|GAP-CB|-|1|0216/117/17|20170517|0.00|0.00|1013802.00|0.00|20170522||20170522|
1|GAP-CB|-|2|Exchange gains|20170707|0.00|0.00|1013802.00|23616.75|20170815|gap-cb|20170815|gap-cb
1|GAP-CB|-|3|hqa5@cdc.gov|20170829|0.00|0.00|1013802.00|23616.75|20170904|gap-cb|20170904|gap-cb
1|ITC|-|0|||0.00|0.00|1260000.00|0.00||||
1|ITC|-|1|hqa5@cdc.gov|20170714|0.00|0.00|1260000.00|0.00|20170824||20170824|
1|ITC|-|2|hqa5@cdc.gov|20170831|0.00|0.00|1260000.00|0.00|20170901|ITC|20170901|ITC
1|YMSM-Cascade|-|0|||0.00|0.00|1680000.00|0.00||||
1|YMSM-Cascade|-|1|hpu8@cdc.gov|20170217|0.00|0.00|1680000.00|0.00|20170228|ymsm-cascade|20170228|ymsm-cascade
1|YMSM-Cascade|-|2|hpu8@cdc.gov|20170606|0.00|0.00|1680000.00|0.00|20170608||20170608|
1|YMSM-Cascade|-|3|hpu8@cdc.gov|20170613|0.00|0.00|1680000.00|0.00|20170613|ymsm-cascade|20170613|ymsm-cascade
1|KPIS|BATS|0|||0.00|0.00|6619800.00|0.00||||
1|KPIS|BATS|1|hpy0@cdc.gov|20170824|0.00|0.00|6619800.00|0.00|20170831|kpis-bats|20170831|kpis-bats
1|KPIS|KK|0|||0.00|0.00|311000.00|0.00||||
1|KPIS|LD|0|||0.00|0.00|281000.00|0.00||||
1|KPIS|SR|0|||0.00|0.00|401000.00|0.00||||
1|KPIS|TU|0|||0.00|0.00|604000.00|0.00||||
1|KPIS|UD|0|||0.00|0.00|545000.00|0.00||||
1|KPIS|UD|1|hpy0@cdc.gov|20170824|0.00|0.00|545000.00|0.00|20170831||20170831|
1|LAB-NetCNBR|-|0|||0.00|0.00|0.00|0.00||||
1|LAB-Strategy|-|0|||0.00|0.00|700000.00|0.00||||
1|LAB-Strategy|-|1|1|20170509|0.00|0.00|700000.00|0.00|20170606||20170606|
1|LAB-TB-EQA|-|0|||0.00|0.00|700000.00|0.00||||
1|NCD-Cancer|-|0|||0.00|0.00|705670.00|0.00||||
1|NCD-Cancer|-|1|1/2017|20170126|0.00|0.00|705670.00|0.00|20170130|NCD1-CANCER|20170130|NCD1-CANCER
1|NCD-Cancer|-|2|2/2017|20170227|0.00|0.00|705670.00|0.00|20170302||20170302|
1|NCD-CVD|-|0|||0.00|0.00|320756.00|0.00||||
1|NCD-CVD|-|1|Xga9@cdc.gov|20170821|0.00|0.00|320756.00|0.00|20170822|NCD-CVD|20170822|NCD-CVD
1|NCD-RTI|-|0|||0.00|0.00|641512.00|0.00||||
1|NCD-RTI|-|1|1|20170314|0.00|0.00|641512.00|0.00|20170322|NCD-RTI|20170322|NCD-RTI
1|NCD-RTI|-|2|2|20170607|0.00|0.00|641512.00|0.00|20170808|NCD-RTI|20170808|NCD-RTI
1|NCD-RTI|-|3|Exchange gains|20170707|0.00|0.00|641512.00|25322.15|20170928||20170928|
1|PIF|-|0|||0.00|0.00|4234600.00|0.00||||
1|PIF|-|1|สธ.0205.15/6302|20170515|0.00|0.00|2951450.00|0.00|20170517|PIF|20170517|PIF
1|PIF|-|2|hqa5@cdc.gov|20170615|0.00|0.00|2951450.00|0.00|20170621||20170621|
1|PIF|-|3|Exchange gains|20170707|0.00|0.00|2951450.00|89317.84|20170824|pif|20170824|pif
1|PIF|-|4|hqa5@cdc.gov|20170828|0.00|0.00|2951450.00|89317.84|20170830|pif|20170830|pif
1|PIF|BATS|0|||0.00|0.00|4234600.00|0.00||||
1|PIF|BATS|1|สธ.0205.15/6302|20170515|0.00|0.00|2951450.00|0.00|20170517|PIF|20170517|PIF
1|PIF|BATS|2|hqa5@cdc.gov|20170615|0.00|0.00|2951450.00|0.00|20170621||20170621|
1|PIF|BATS|3|Exchange gains|20170707|0.00|0.00|2951450.00|89317.84|20170824|pif|20170824|pif
1|PIF|BATS|4|hqa5@cdc.gov|20170828|0.00|0.00|2951450.00|89317.84|20170830|pif|20170830|pif
1|PrEP2START|LAB|0|||0.00|0.00|1050000.00|0.00||||
1|PrEP2START|LAB|1|Approved by hqm3@cdc.gov|20170509|0.00|0.00|1050000.00|0.00|20170519||20170519|
1|PrEP2START|LAB|2|Exchange gains|20170707|0.00|0.00|1050000.00|21696.63|20170810||20170810|
1|PrEP2START|SL-BATS|0|||0.00|0.00|5578566.00|0.00||||
1|PrEP2START|SL-BATS|1|hpy0@cdc.gov|20170426|0.00|0.00|5816566.00|0.00|20170515|prep2start-sl-bats|20170515|prep2start-sl-bats
1|PrEP2START|SL-BATS|2|Exchange gains|20170807|0.00|0.00|5816566.00|13582.67|20170906||20170906|
1|PrEP2START|SL-BATS|3|hpy0@cdc.gov|20170830|0.00|0.00|5816566.00|13582.67|20170906||20170906|
1|PrEP2START|SL-BR|0|||0.00|0.00|1145000.00|0.00||||
1|PrEP2START|SL-BR|1|hpy0@cdc.gov|20170426|0.00|0.00|695000.00|0.00|20170515|prep2start-sl-br|20170515|prep2start-sl-br
1|PrEP2START|SL-Care|0|||0.00|0.00|590000.00|0.00||||
1|PrEP2START|SL-Care|1|hpy0@cdc.gov|20170426|0.00|0.00|660000.00|0.00|20170515|prep2start-sl-care|20170515|prep2start-sl-care
1|PrEP2START|SL-Care|2|hpy0@cdc.gov|20170830|0.00|0.00|660000.00|0.00|20170906|prep2start-sl-care|20170906|prep2start-sl-care
1|PrEP2START|SL-KK|0|||0.00|0.00|1296000.00|0.00||||
1|PrEP2START|SL-KK|1|hpy0@cdc.gov|20170426|0.00|0.00|1438000.00|0.00|20170517|prep2start-sl-kk|20170517|prep2start-sl-kk
1|PrEP2START|SL-KK|2|hpy0@cdc.gov|20170830|0.00|0.00|1438000.00|0.00|20170906|prep2start-sl-kk|20170906|prep2start-sl-kk
1|PrEP2START|SL-UD|0|||0.00|0.00|1292400.00|0.00||||
1|PrEP2START|SL-UD|1|hpy0@cdc.gov|20170426|0.00|0.00|1292400.00|0.00|20170515|prep2start-sl-ud|20170515|prep2start-sl-ud
1|PrEP2START|SL-UD|2|hpy0@cdc.gov|20170830|0.00|0.00|1292400.00|0.00|20170906|prep2start-sl-ud|20170906|prep2start-sl-ud
1|PrEP2START|SU|0|||0.00|0.00|4156110.00|0.00||||
1|PrEP2START|SU|1|vgl9@cdc.gov|20170516|0.00|0.00|4156110.00|0.00|20170518|prep2start-su|20170518|prep2start-su
1|PrEP2START|SU|2|Exchange gains|20170707|0.00|0.00|4156110.00|120690.85|20170719|prep2start-su|20170719|prep2start-su
1|PrEP2START|SU|3|vgl9@cdc.gov|20170829|0.00|0.00|4156110.00|120690.85|20170829|prep2start-su|20170829|prep2start-su
1|SI|DTU|0|||0.00|0.00|1319400.00|0.00||||
1|SI|DTU|1|0216/138/17|14740612|0.00|0.00|1489400.00|0.00|20170711||20170711|
1|SI|DTU|2|Exchange gains|20170726|0.00|0.00|1489400.00|37771.13|20170827|si-dtu|20170827|si-dtu
1|SI|DTU|3|hpr7@cdc.gov|20170830|0.00|0.00|1489400.00|37771.13|20170831|si-dtu|20170831|si-dtu
1|SI|MIS|0|||0.00|0.00|2395424.00|0.00||||
1|SI|MIS|1|Approved by hpr7@cdc.gov|20170403|0.00|0.00|2395424.00|0.00|20170502||20170502|
1|SI|MIS|2|0216/133/17|20170606|0.00|0.00|2515424.00|0.00|20170613||20170613|
1|SI|MIS|3|Exchange gains|20170707|0.00|0.00|2515424.00|81351.08|20170810|si-mis|20170810|si-mis
1|SI|MIS|4|Approved by hpr7@cdc.gov|20170831|0.00|0.00|2515424.00|81351.08|20170911|si-mis|20170911|si-mis
1|SI|SUR|0|||0.00|0.00|4778000.00|0.00||||
1|SI|SUR|1|hpr7@cdc.gov|20170313|0.00|0.00|4778000.00|0.00|20170313|SI-SUR|20170313|SI-SUR
1|SI|SUR|2|Exchange gains|20170428|0.00|0.00|4778000.00|8708.01|20170613|SI-SUR|20170613|SI-SUR
1|SI|SUR|3|Exchange gains|20170707|0.00|0.00|4778000.00|184294.70|20170718|si-sur|20170718|si-sur
1|SI|SUR|4|hpr7@cdc.gov|20170727|0.00|0.00|4778000.00|184294.70|20170808|SI-SUR|20170808|SI-SUR
2|CU2-MOPH|-|0|||609850.03|875283.76|8141334.00|0.00||||
2|DGHP-DeNARS|-|0|||1125911.80|293964.00|3119262.00|0.00||||
2|DGHP-EIGNA|-|0|||2390265.93|838508.00|6238524.00|0.00||||
2|DGHP-Farmer|-|0|||120615.37|0.00|1892950.00|0.00||||
2|DGHP-IPC|-|0|||57330.73|414188.00|1559648.00|0.00||||
2|DGHP-MOPH-EOC|-|0|||432903.90|319736.00|1240218.00|||||
2|DGHP-OH|-|0|||621857.75|262616.00|3869370.00|0.00||||
2|DGHP-OH-WFD|-|0|||1021396.82|204272.00|1006400.00|0.00||||
2|DGHP-SevPn|-|0|||153458.51|500174.00|818346.00|0.00||||
2|DGMQ-NR5|-|0|||49185.51|0.00|1575458.00|0.00||||
2|DGMQ-NR6|-|0|||19613.93|15334.00|420852.00|0.00||||
2|FLU-Bangkok|-|0|||714.31|124338.00|1657160.00|0.00||||
2|FLU-DARRT|-|0|||277470.74|22916.00|12929010.00|0.00||||
2|FLU-LAB|-|0|||48481.25|0.00|7435120.00|0.00||||
2|FLU-RightSize|-|0|||16706.38|0.00|609212.00|0.00||||
2|FLU-Treatment|-|0|||65650.22|278834.00|1700000.00|0.00||||
2|ITC|-|0|||156305.60|37359.88|1224000.00|0.00||||
2|LAB-Strategy|-|0|||128878.72|20884.16|748000.00|0.00||||
2|LAB-TB-EQA|-|0|||49953.96|29214.16|1020000.00|0.00||||
2|NCD-Cancer|-|0|||106917.26|43010.00|2869736.00|0.00||||
2|NCD-CVD|-|0|||17246.09|52496.00|966960.00|0.00||||
2|NCD-RTI|-|0|||98517.22|0.00|0.00|0.00||||
2|PIF|BATS|0|||277490.42|0.00|3238200.00|0.00||||
2|SI|DTU|0|||808210.62|0.00|659260.00|0.00||||
2|SI|MIS|0|||75453.90|0.00|3470560.00|0.00||||
2|SI|SUR|0|||100487.21|0.00|7048190.00|0.00||||
