CoAgYear|ProjectID|SubprojectID|AmendNo|AmendRefNo|AmendDate|CashOnHand|Carryover|New|Gain|_datecreated|_usercreated|_dateupdated|_userupdated
1|DGHP-AFI|TAK|4|Thamthitiwat, Somsak (CDC/CGH/DGHP) <hpv2@cdc.gov>|20170629|0.00|0.00|12602576.00|0.00|20170714|DGHP-AFI-TAK|20170714|DGHP-AFI-TAK
1|DGHP-PrOZINT|BU|0|||0.00|0.00|2452760.00|0.00||||
1|DGHP-PrOZINT|MH|0|||0.00|0.00|2452760.00|0.00||||
1|FLU-Pregnancy|-|0|||0.00|0.00|12866110.00|0.00||||
1|FLU-Pregnancy|-|1|สธ 0205.15/7279|20170601|0.00|0.00|12866110.00|0.00|20170605|FLU-Pregnancy|20170605|FLU-Pregnancy
1|FLU-Pregnancy|-|2|hpw0@cdc.gov|20170606|0.00|0.00|12866110.00|0.00|20170607|FLU-Pregnancy|20170607|FLU-Pregnancy
1|FLU-Pregnancy|-|3|glr9@cdc.gov|20170816|0.00|0.00|12866110.00|0.00|20170816|FLU-Pregnancy|20170816|FLU-Pregnancy
1|FLU-VENetwork|-|0|||0.00|0.00|10046388.00|0.00||||
1|FLU-VENetwork|-|1|glr9@cdc.gov|20170203|0.00|0.00|10046388.00|0.00|20170203|FLU-VENetwork|20170203|FLU-VENetwork
1|FLU-VENetwork|-|2|glr9@cdc.gov|20170224|0.00|0.00|10046388.00|0.00|20170315|FLU-VENetwork|20170315|FLU-VENetwork
1|FLU-VENetwork|-|3|glr9@cdc.gov|20170331|0.00|0.00|10046388.00|0.00|20170405|FLU-VENetwork|20170405|FLU-VENetwork
1|FLU-VENetwork|-|4|glr9@cdc.gov|20170412|0.00|0.00|10046388.00|0.00|20170419||20170419|
1|FLU-VENetwork|-|5|isa2@cdc.gov|20170530|0.00|0.00|10046388.00|0.00|20170601|FLU-VENETWORK|20170601|FLU-VENETWORK
1|FLU-VENetwork|-|6|Exchange gains|20170428|0.00|0.00|10046388.00|7102.44|20170605|flu-venetwork|20170605|flu-venetwork
1|FLU-VENetwork|-|7|glr9@cdc.gov|20170808|0.00|0.00|10046388.00|7102.44|20170808||20170808|
1|HSRP-ALLO|-|0|||0.00|0.00|0.00|0.00||||
1|HSRP-COH|-|0|||0.00|0.00|0.00|0.00||||
1|HSRP-COMBO|-|0|||0.00|0.00|5165348.00|0.00||||
1|HSRP-COMBO|-|1|isa2@cdc.gov|20170525|0.00|0.00|5165348.00|0.00|20170616|hsrp-combo|20170616|hsrp-combo
1|HSRP-HPTN083|-|0|||0.00|0.00|0.00|0.00||||
1|HSRP-YMSM|-|0|||0.00|0.00|10363676.00|0.00||||
1|HSRP-YMSM|-|1|dde9@cdc.gov|20170302|0.00|0.00|10363676.00|0.00|20170302|hsrp-ymsm|20170302|hsrp-ymsm
1|HSRP-YMSM|-|2|0216/120/17|20170522|0.00|0.00|9381858.00|0.00|20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|3|mvt2@cdc.gov|20170523|0.00|0.00|9381858.00|0.00|20170530|hsrp-ymsm|20170530|hsrp-ymsm
1|HSRP-YMSM|-|4|mvt2@cdc.gov|20170815|0.00|0.00|9381858.00|0.00|20170817|hsrp-ymsm|20170817|hsrp-ymsm
1|HSRP-Main|-|0|||0.00|0.00|14226382.00|0.00||||
1|HSRP-Main|-|1|mvt2@cdc.gov|20170302|0.00|0.00|14226382.00|0.00|20170302|hsrp-main|20170302|hsrp-main
1|HSRP-Main|-|2|mvt2@cdc.gov|20170321|0.00|0.00|14226382.00|0.00|20170420|hsrp-main|20170420|hsrp-main
1|HSRP-Main|-|3|isa2@cdc.gov|20170525|0.00|0.00|14226382.00|0.00|20170612|hsrp-main|20170612|hsrp-main
1|HSRP-Main|-|4|dde9@cdc.gov|20170627|0.00|0.00|14226382.00|0.00|20170706|hsrp-main|20170706|hsrp-main
1|HSRP-Main|-|5|mvt2@cdc.gov|20170818|0.00|0.00|14226382.00|0.00|20170913|hsrp-main|20170913|hsrp-main
1|HSRP-MTN026|-|0|||0.00|0.00|0.00|0.00||||
1|HSRP-MTN026|-|1|0216/121/17|20170522|0.00|0.00|981818.00|0.00|20171012|hsrp-mtn026|20171012|hsrp-mtn026
2|CU1-MOPH|-|0|||2302458.83|409122.00|6222782.00|0.00||||
2|DGHP-AFI|BIDI|0|||0.00|264211.61|3269678.00|0.00||||
2|DGHP-AFI|NP|0|||962991.82|484024.00|12476912.00|0.00||||
2|DGHP-AFI|TAK|0|||817947.60|3050038.00|13557874.00|0.00||||
2|DGHP-PrOZINT|BIDI|0|||6874018.61|1589196.39|3400000.00|0.00||||
2|DGHP-PrOZINT|BU|0|||1901867.40|7816770.00|7950798.00|0.00||||
2|DGHP-PrOZINT|MH|0|||2177949.98|7816770.00|7578702.00|0.00||||
2|DGHP-ZIKV-Ento|-|0|||0.00|5456048.00|192440.00||18991230|||
2|Flu-Communication|-|0|||864975.61|0.00|6675696.00|0.00||||
2|FLU-Pregnancy|-|0|||1215893.41|1635740.00|12524818.00|0.00||||
2|FLU-VENetwork|-|0|||4479947.57|902224.00|9906648.00|0.00||||
2|HSRP-COMBO|-|0|||1659041.68|2720000.00|7989592.00|0.00||||
2|HSRP-YMSM|-|0|||3974411.49|3914182.00|2836314.00|0.00||||
2|HSRP-Main|-|0|||2337479.46|544000.00|13685238.00|0.00||||
2|HSRP-MTN026|-|0|||0.00|981818.00|1668006.00|0.00||||
